GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
E9_free_distrib,Ban on free distribution in mail or through other means,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1302,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
E9_free_distrib,Ban on free distribution in mail or through other means,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1302,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
E9_free_distrib,Ban on free distribution in mail or through other means,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1302,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
E9_free_distrib,Ban on free distribution in mail or through other means,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1302,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
E9_free_distrib,Ban on free distribution in mail or through other means,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1302,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,4,4.00000,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,4,4.00000,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,4,4.00000,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,4,4.00000,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,4,4.00000,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,4,4.00000,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,3,3.00000,,,,,
NTCP_agcy,National agency for tobacco control exists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1308,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
NTCP_agcy,National agency for tobacco control exists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1308,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
NTCP_budget_year,Budget year,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1294,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
NTCP_budget_year,Budget year,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1294,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,0,0.00000,,,,,
NTCP_budget_year,Budget year,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1294,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,2010,2010.00000,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,USD,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,USD,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,USD,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,4,4.00000,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,4,4.00000,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,4,4.00000,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,4,4.00000,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,277966,277966.00000,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,280240,280240.00000,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,280240,280240.00000,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,280240,280240.00000,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,280240,280240.00000,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,280240,280240.00000,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes in some,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes in some,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes in some,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes in some,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes in some,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes in some,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes in most,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes in most,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes in most,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes in some,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes in some,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes in some,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes in some,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes in most,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes in most,,,,,,
O_Avail_hosp,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes in most,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes in some,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes in some,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes in some,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes in some,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes in some,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Partially,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Partially,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Partially,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Yes,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Yes,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_where,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,In a pharmacy with a prescription,,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,0,0.00000,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Data not available,,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Data not available,,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Data not available,,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Data not available,,,,,,
O_Cytisine_ins,Cytisine - cost covered,Nil,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Not applicable,,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,0,0.00000,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Data not available,,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Data not available,,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Data not available,,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Data not available,,,,,,
O_Cytisine_sold,Cytisine - legally sold,Nil,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,0,0.00000,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Data not available,,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Data not available,,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Data not available,,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Data not available,,,,,,
O_Cytisine_where,Cytisine - place available,Nil,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Not applicable,,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,4,4.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,4,4.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,4,4.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,4,4.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,4,4.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,4,4.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,4,4.00000,,,,,
O_Ins_community,Smoking cessation support is cost-covered in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
O_Ins_community,Smoking cessation support is cost-covered in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
O_Ins_community,Smoking cessation support is cost-covered in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
O_Ins_community,Smoking cessation support is cost-covered in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
